item_link,item_name,item_price
/BalanceFrom-GoFit-All-Purpose-Weights/dp/B0887WFJFS?dchild=1,"""BalanceFrom All-Purpose Weight Set, 40 lbs""",CDN$ 93.15
/Synergee-Fixed-20LB-Barbell-Weighted/dp/B07VW93XFL?dchild=1,"""Synergee Fixed Barbell Pre Weighted Straight Steel Bar with Rubber Weights - Fixed Weight""",CDN$ 79.95
/Marcy-dhalt%C3%A8res-vinyle-r%C3%A9glables-livres/dp/B002I00P8W?dchild=1,"""Marcy 40 Pound Vinyl Dumbbell Set with Adjustable Weights - Weight Set for Weightlifting and Body Building VB-40""",CDN$ 56.92
/halt%C3%A8res-rangement-niveaux-maison-salle/dp/B088W65ZR5?dchild=1,"""3-Tier Dumbbell Storage Rack Stand Free Weights Dumbbells Set for Home Gym Exercise""",CDN$ 17.99
/DlandHome-Dumbbells-Adjustable-Octagonal-Designed/dp/B081GDW87L?dchild=1,"""DlandHome Dumbbells Anti Rolling Fitness Dumbbells 66 Pounds Adjustable Dumbbells (Pair), Iron Sand Mixture Octagonal Designed, Red & Black""",CDN$ 159.00
/Bowflex-100182-SelectTech-552-Dumbbells/dp/B001ARYU58?dchild=1,"""Bowflex SelectTech 552 Adjustable Dumbbells (Pair)""",
/Everlast-Comfort-Ankle-Wrist-Weights/dp/B013K53AO4?dchild=1,"""Everlast Comfort Fit Ankle/Wrist Weights 5 lb - Blue""",CDN$ 24.99
/Sportneer-Weights-Adjustable-Fitness-Walking/dp/B07L3KF1GN?dchild=1,"""[The New] Sportneer Ankle Weights, Adjustable Weights Wrist Arm Leg Weight Straps for Fitness, Walking, Jogging, Workout, 1-5 lbs Each Pack, 2 Pack 2-10 lbs""",CDN$ 48.99
/3-Piece-Kettlebell-Exercise-Fitness-Weights/dp/B07W6PNY46?dchild=1,"""3-Piece HDPE Kettlebell Exercise Fitness Weight Set w/ 5lb, 10lb, 15lb Weights, Base Rack - Black""",CDN$ 115.50
/Neoprene-Dumbbell-Hand-Weight-Purple/dp/B087QQMV45?dchild=1,"""Neoprene Dumbbell Hand Weight - Sold as 2-Set/Pair""",CDN$ 39.99
/Sportneer-Weights-Weight-Straps-Adjustable/dp/B01N7M8IDB?dchild=1,"""Ankle Weights, Sportneer Adjustable 1-7 lbs Wrist Weight Straps for Fitness, Walking, Jogging, Workout | Each 0.5-3.5 lbs, 2 Pack 1-7 lbs …""",CDN$ 38.99
/AmazonBasics-Adjustable-Ankle-Weights-5lb/dp/B075C7LHCM?dchild=1,"""AmazonBasics Adjustable Ankle Weights""",CDN$ 27.25
/AmazonBasics-Neoprene-Dumbbells-2-Pound-Pink/dp/B01LR5RBZ8?dchild=1,"""AmazonBasics Neoprene Dumbbell Hand Weights""",CDN$ 14.79
/Prodigen-Adjustable-Weights-Walking-Gymnastics/dp/B07PRRN9X1?dchild=1,"""Prodigen Adjustable Ankle Weights Set for Men & Women Ankle Wrist Weight for Walking, Jogging, Gymnastics""",CDN$ 34.99
/r%C3%A9sistance-dentra%C3%AEnement-organisateur-entra%C3%AEnement-physioth%C3%A9rapie/dp/B07XYQ9WWX?dchild=1,"""Ximito Resistance Bands set 13PCS Exercise Band for working out Up to 125 lbs, with 5 Stackable Fitness Tubes Handles, Door Anchor, Ankle Straps and Workout Guide ,Exercise Towel ,organizer bag- for Resistance Training, Home Workouts, Physical Therapy, Yoga""",CDN$ 38.99
/Trimmer-Trainer-Burner-Slimming-Weight/dp/B07NZ7KGMK?dchild=1,"""Women Waist Trimmer Trainer Fat Burner Slimming Weight Loss Belt with Sauna Effect""",CDN$ 33.99
/Sunshay-Dumbbells-Weightlifting-Multifunctional-Including/dp/B086P932ZX?dchild=1,"""Sunshay Dumbbells Rack,Weight Lifting Dumbbell Tree Rack,Weightlifting Holder Dumbbell Floor Bracket,Multifunctional Fitness Weight Lifting Tool,Weights Dumbbell Rack(Not Including Dumbbells)""",CDN$ 14.50
/Cap-Barbell-Fitness-Urethane-Dumbbell/dp/B0066AWONO?dchild=1,"""Cap Barbell Fitness Urethane Covered Dumbbell Black,5-Pound""",
/Cap-Barbell-Pounds-Standard-Plate/dp/B004963Z62?dchild=1,"""CAP Barbell Standard Grip Plate""",CDN$ 87.34
/Cap-Barbell-Urethane-Dumbbell-20-Pound/dp/B0066AWPO2?dchild=1,"""Cap Barbell Fitness Urethane Covered Dumbbell (Black)""",
/Pvolve-1-5lb-Ankle-Weights/dp/B07H13DZFP?dchild=1,"""P.volve Ankle Weights""",CDN$ 29.99
/AOAUUKO-Resistance-Portable-Exercise-Twisting/dp/B0865J18J3?dchild=1,"""AOAUUKO Pilates Bar Kit with Resistance Band, Portable Pilates Exercise Stick Yoga Exercise Bar with Foot Loop Body Workout Toning Bar for Yoga,Stretch,Twisting,Body Shaping - Purple""",
/BalanceFrom-GoFit-Fully-Adjustable-Weights/dp/B079RZBHSR?dchild=1,"""BalanceFrom GoFit Fully Adjustable Ankle Wrist Arm Leg Weights, Pair""",CDN$ 12.70
/Adjustable-Utility-Exercise-Workout-Incline/dp/B07YXVSZGL?dchild=1,"""Adjustable Weight Bench Utility Exercise Workout Bench Flat/Incline/Decline Bench Press for Home Gym""",CDN$ 179.99
