item_link,item_name,item_price
https://www.ebay.ca/itm/CAP-BARBELL-40-POUND-ADJUSTABLE-VINYL-DUMBBELL-WEIGHT-SET/254661289800?epid=653581194&hash=item3b4afee748:g:FesAAOSw40dfBJs-,"""CAP BARBELL 40-POUND ADJUSTABLE VINYL DUMBBELL WEIGHT SET""",
https://www.ebay.ca/itm/Neoprene-Dumbbell-Hand-Weights/193631756304?_trkparms=ispr%3D1&hash=item2d155a2010:g:A6MAAOSwnOxfPwjc&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkfKe2vUidqHRg3XM2X2xOVGa7oc8GHGBhD9EE%2FPnw46xXXXUgu31cS3aLQsaCyfbzLR4Vp7gtxy1nKUgxr5XC1vlGdmgEkpAoRJwGYAHPmgKTgKXiAPbkcx0ohoWeMXotpE8YpdKwaF9ND5z07an%2BazgiJUj9HnEctcaie%2BGO%2B4RZsREsjqYL8NthoZ4j6WERbF0Y9sOvnSanNLcDxYqcmd5EbFE%2FfDR8gYhJKrG2Rubb1O3%2Bm9yPfPXrG9xZUvJxMTltyxeHGZiM8XForPK%2BWf0xJs94LyUhEhMKs8wVFFqalZu5mLZ8NMPbRngA95VJkyYx%2FtzM751m4f8KQ10qE694oxWNbdjlmd4oT4ccJU2pMLGl%2BU0tbsMcXWNWXUS2RRwNe0a1ypL7vODvZYgEscm7UTfoq3C%2BpMVLJScaX402DochVexib%2FYh2466XPexaR9SfuHsZgkXeea9ZzRXtB%2Bs%2Bnad3foeCBy2lvVF1J2Uv0nTD1ffHA2urokg%2Bw6lqOc3xWJi%2B8kiu4h%2BJIZA3nqFItAsJPI80m9jL%2FwjLipGGy0gDHt2aq8DWBejFh%2BPKmqxQ%2Fb7YVA5VSpLIPccRmj3z6FTbDpN9MNaViBH8TLDcGNumEDVubkuHC7z3JTq%2BMFkVEw3GQBVXnkpKHjGgJWyNfISwba6kj7BcKy6TV%2BBOc0Cvdm7WCBtN%2FUSueiroTF4Rogsr1Kl%2Bpxdit%2ByE5ZATLuLGoQnNQY06adRcAX9RUJJfgWIkTAZX19mu1mx&checksum=193631756304350874a4244b478cb34b3b3eddf76dbb,"""Neoprene Dumbbell Hand Weights""",C $91.99
https://www.ebay.ca/itm/Square-Set-of-Dumbbells-3Lb-2LB-Neoprene-Rubber-Hand-Weights-Band-New/363038927904?_trkparms=ispr%3D1&hash=item5486ce6c20:g:TKcAAOSwzxBe2Ump&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkBSh1VzQSTzkTiSV5EE%2FHQYfPZ9jb52mmpFsdz7r2QYb2avNtYCxZthQQdSfmEdfinTyCMtqc29UfZ1qP%2FIu%2BCv5S3VdQ8QSuxEP4ZpgD4HyKJ9cz28%2BfTnHJJsookzNs8VR4MrmiyUSYLx%2BXirWII3%2BCfLT1V8fOiZ8LeFwbUKRTNBlKYVKTvsCic69ThMWu4YVAsjLQOXfffg4b2u7%2Fr2spgtzNanAhOYptnX00mvhwLsS2BsqEbYrfU5%2B0a2WoVBzYsEnLLS4I%2BLzoLecuyBqjaPIUShuYtLVcQZG5MChh%2BTNqqvkDv%2BcDFLBwtwQgpBh2%2FW3ri4hiPCSOarjvMyuhryxEjvde1DVgHAAnn5KMvXjb6I85EE8yhRJZ%2Bv2ct%2F%2BGHwnBEoHgcM85lOf6FLwzya24pikH%2B5PgtGU6NQ%2F5f6q3x93yQoKW49abI%2FKW1Hfs%2Bl67PrO4Gi6dRFszLXHzjCoo%2FK6IDff%2BAn6N3kgG1JU6wdbcNbAOie%2B8%2FT4cYPCHEi%2FODrq%2BWHBjhj6KWeYXdJK41qDr2uamDv4sljbWeeOk83WWCPyqTwKJM1SoN5MhbdLOz5Tgxo0QwXZtD%2BzoOpExbiqzSHOmDZfU5Zb5aiZNjpp1tmHgC8EUGZ%2BeIsVA36BFmqiK0iwbTIfTaWP5zacbGMv8N8bYbi2jo9GeI%2BTSylx%2Fmq1OsAW7zlfZy9jHiiNtcMXI0NGMldrHUESb8sVH4wuGZPFdb%2BJWZujot1J0SRlF5cwzEoyDbhyR&checksum=363038927904350874a4244b478cb34b3b3eddf76dbb,"""Square Set of Dumbbells 3Lb&2LB Neoprene Rubber Hand Weights -Band New""",
https://www.ebay.ca/itm/NEW-Bowflex-SelectTech-552-SINGLE-1-Adjustable-Dumbbell-Weight-SHIPS-TODAY/154050394217?epid=2164314977&hash=item23de1e7869:g:5W4AAOSwE6dfOplc,"""NEW Bowflex SelectTech 552 SINGLE (1) Adjustable Dumbbell Weight SHIPS TODAY""",
https://www.ebay.ca/itm/Pair-of-8lb-3-6kg-Rubber-Hex-Dumbbell-Weights-16lbs-Total-Set-New-CAP/254681541223?_trkparms=ispr%3D1&hash=item3b4c33ea67:g:OHYAAOSwhHVfL0CX&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkrDx%2B2NLp21dg6hHbHAkGMRVBSul1Bue0o9U0p6%2FJev1RJqVoqYFWTrTlIgL1rPeUkt%2BYF%2FNuOdJ60KuzDMzQRGLn1eU2bgIOdtkedIcP1KE4xhIYWfQVe5ZqmRdHeWkZ%2FNs5S6lYYBS7jYhfTkVJIl9jxjzIW7EfeXttBYfn7orAshbEFUGcl0xQan%2BLUaoMz0kv%2F1oWmNvP1%2F%2F5fOippYHqV0iBaxRt1R%2BegPc40SqdXZumqXIj8e1tAg3%2Bu1UzovQS%2FicBewfEmvblNLlrgWNLTuuV5C8h9Tl6NYEGnk4l15xcD%2BEIsvfgAEymUYK2%2Fc%2Be9AyMqfykeR8WjHaKWACHjXv23mA5lPsGP2BMCutLMgzScb04o%2B3YtBpVm%2FSiXgjtu9qTV3cNgBcPJ4Eh6cQDAbEjsvz9y94Kvq8fSRzZld7Ky1INm8UdQlXev7DVWdi5Z2cjSb79ND%2FU4C7H9DbTmuyYbdnWGagaHcHzpITj8xCETsNso%2B8AszY1P6%2FIuF14BJQv0SrHs0%2BrrVMN%2B%2BBoaPee%2F7RVEq3WMEkjPhdrCMk1Ys1Y78gFcfs4ZlXdggEIQHIiOeZgVqT6jJTHfIk4BJHK7DYiVJA8AdFn3zRpckN7tv86d1vvYaTL%2BSDJGdSUE4sej6RsXep61Hc3esA6Vp47Mfb73y5psgISamnscCEFyHW5ypD0cLtqgfQ8xjEuyoAQv660aOIX9bwOZQrC477RrOPKc7CSdr5T9SLS1l1p9czv3S%2FNS6waHrdo&checksum=254681541223350874a4244b478cb34b3b3eddf76dbb,"""Pair of 8lb (3.6kg) Rubber Hex Dumbbell Weights (16lbs Total) Set New CAP""",
https://www.ebay.ca/itm/CAP-Barbell-cast-iron-40-lb-Adjustable-Dumbbell-weight-Set-with-Case-IN-HAND/392753774774?epid=10038847121&hash=item5b71f300b6:g:vbkAAOSwOmtejU9B,"""CAP Barbell cast iron 40 lb Adjustable Dumbbell weight Set with Case (IN HAND)""",
https://www.ebay.ca/itm/88lbs-Adjustable-Dumbbell-Set-Weight-Fitness-Home-Training-Exercise-Black-Pair/302112964345?epid=1840083150&hash=item465755fef9:g:k2YAAOSwi4labwTx,"""88lbs Adjustable Dumbbell Set Weight Fitness Home Training Exercise Black-Pair""",
https://www.ebay.ca/itm/110lbs-Dumbbell-Set-Adjustable-Hand-Weights-Fitness-Training-Home-Gym/371383304296?epid=1140113185&hash=item56782b8068:g:8vEAAOSwmRFabwKi,"""110lbs Dumbbell Set Adjustable Hand Weights Fitness Training Home Gym""",
https://www.ebay.ca/itm/88lbs-Adjustable-Dumbbell-Set-Home-Training-Workout-Fitness-Hand-Weights/371768009667?epid=507531875&hash=item568f19a3c3:g:SJcAAOSwcuZabwM~,"""88lbs Adjustable Dumbbell Set Home Training Workout Fitness Hand Weights""",
https://www.ebay.ca/itm/110lbs-Dumbbell-Set-Adjustable-Hand-Weights-Fitness-Training-Home-Gym/301687724727?hash=item463dfd5ab7:g:324AAOSwJ0xabwN5,"""110lbs Dumbbell Set Adjustable Hand Weights Fitness Training Home Gym""",
