item_link,item_name,item_price
/Bowflex-100182-SelectTech-552-Dumbbells/dp/B001ARYU58?dchild=1,Bowflex SelectTech 552 Adjustable Dumbbells (Pair),
/BalanceFrom-GoFit-All-Purpose-Weights/dp/B0887WFJFS?dchild=1,"BalanceFrom All-Purpose Weight Set, 40 lbs",CDN$ 93.68
/MINISO-1kg-2-2lbs-Weights-Women/dp/B08C4QMD19?dchild=1,MINISO 1kg/2.2lbs Weights for Women - Hand Weights for Light Exercise - Dumbbells Weights for Home Workouts - Light Free Weights to Expand Your Routine - Hand Weights for Women Single Dumbbell,CDN$ 21.99
/3-Piece-Kettlebell-Exercise-Fitness-Weights/dp/B07W6PNY46?dchild=1,"3-Piece HDPE Kettlebell Exercise Fitness Weight Set w/ 5lb, 10lb, 15lb Weights, Base Rack - Black",CDN$ 115.50
/Goutime-Neoprene-Dumbbells-Exercise-Women-1-5kg/dp/B07STYYQ5J?dchild=1,"Goutime Neoprene Dumbbell Set,Fitness Gym Exercise with Non-Slip Hand for Men and Women at Home (Pack of 2)",CDN$ 40.99
/AmazonBasics-Adjustable-Ankle-Weights-5lb/dp/B075C7LHCM?dchild=1,AmazonBasics Adjustable Ankle Weights,CDN$ 27.25
/Cap-Barbell-Neoprene-Dumbbell-Lavender/dp/B00G6Q8Z1S?dchild=1,Cap Barbell Neoprene Dumbbell,CDN$ 5.05
/Sportneer-Weights-Adjustable-Fitness-Walking/dp/B07L3KF1GN?dchild=1,"[The New] Sportneer Ankle Weights, Adjustable Weights Wrist Arm Leg Weight Straps for Fitness, Walking, Jogging, Workout, 1-5 lbs Each Pack, 2 Pack 2-10 lbs",CDN$ 48.99
/Yoleo-Adjustable-Weight-Bench-Foldable/dp/B07MNPRJFK?dchild=1,"Yoleo Adjustable Weight Bench - Utility Weight Benches for Full Body Workout, Foldable Incline/Decline Bench Press for Home Gym",CDN$ 246.99
/Dumbbell-Storage-Weights-Dumbbells-Exercise/dp/B088W65ZR5?dchild=1,3-Tier Dumbbell Storage Rack Stand Free Weights Dumbbells Set for Home Gym Exercise,CDN$ 17.99
/Fitness-First-F1RGWP-10-LBS/dp/B07XH5P828?dchild=1,Fitness First Urethane Grip Weight Plates,CDN$ 33.39
/RENPHO-Bluetooth-Body-Fat-Scale/dp/B01N1UX8RW?dchild=1,"RENPHO Bluetooth Body Fat Scale BMI Scale Smart Digital Bathroom Wireless Weight Scale, Body Composition Analyzer with Smartphone App 396 lbs Black",CDN$ 49.99
/Ximito-Resistance-Exercise-Stackable-organizer/dp/B07XYQ9WWX?dchild=1,"Ximito Resistance Bands set 13PCS Exercise Band for working out Up to 125 lbs, with 5 Stackable Fitness Tubes Handles, Door Anchor, Ankle Straps and Workout Guide ,Exercise Towel ,organizer bag- for Resistance Training, Home Workouts, Physical Therapy, Yoga",CDN$ 38.99
/Trimmer-Trainer-Burner-Slimming-Weight/dp/B07NZ7KGMK?dchild=1,Women Waist Trimmer Trainer Fat Burner Slimming Weight Loss Belt with Sauna Effect,CDN$ 33.99
/Webber-Naturals-Apple-Vinegar-Capsules/dp/B00AG5DM18?dchild=1,"Webber Naturals Apple Cider Vinegar Capsules, 500mg",CDN$ 7.98
/Etekcity-Bathroom-Measuring-Accurate-Technology/dp/B01G8L1GZ2?dchild=1,"Etekcity Digital Body Weight Bathroom Scale with Body Measuring Tape, Ultra Accurate, Large Easy-to-Read Backlit LCD Display, Step-on Technology, 400 lb/180 kg",CDN$ 27.99
/Trademark-Innovations-Exercise-Dumbells-Aerobics/dp/B010RBF2C2?dchild=1,"Trademark Innovations Aquatic Exercise Dumbells, Set of 2 for Water Aerobics, Blue",CDN$ 22.62
/Sunshay-Dumbbells-Weightlifting-Multifunctional-Including/dp/B086P932ZX?dchild=1,"Sunshay Dumbbells Rack,Weight Lifting Dumbbell Tree Rack,Weightlifting Holder Dumbbell Floor Bracket,Multifunctional Fitness Weight Lifting Tool,Weights Dumbbell Rack(Not Including Dumbbells)",CDN$ 14.75
/Neoprene-Dumbbell-Hand-Weight-Purple/dp/B087QQMV45?dchild=1,Neoprene Dumbbell Hand Weight - Sold as 2-Set/Pair,CDN$ 39.99
