stars,comment
5.0 out of 5 stars,"Great starter set weight set for a great price. A few things to know; You should take some time to clean the threads because they have been machined and may still have some metal fragments that will cut. I used a wet rag and finished with WD40 to protect the metal.  The plates will fit on any standard weight bar, so I also purchased a long bar to complement the weight set. I also plan on purchasing additional heavier weight plates because loading the ten pound plates can get tedious after awhile. But overall, this is a great starter set of weight plates and dumbbell bars to purchase."
4.0 out of 5 stars,"For the price I couldn't find anywhere local that could compete with this product. This would be a 5 star product if it had a standard diameter bar for weights. Realistically, the 100lb set is fine and I don't think I'll ever need to add weight to it. If I did, I would sell this one and upgrade to the 200lb set.My weights came with no weird smell, not chipped, all the same size, and weighed pretty close to true on my less than perfect scale. For me the kurling on the grip is just right.There is a rubber gromet that sits in the locks that will come out stuck onto a weight plate. It helps lock the nut in place. The weights work fine without this piece as long as you check that your weight is secure (which you should always be doing anyways).Even though the description has the measurement of the bar I'm still docking it a star."
4.0 out of 5 stars,"Pretty easy to work with; my only gripe is that there are only 5 and 8 plates while I would prefer more variety. If you want to increase the weight on it you can only go by 10 at time in this way, because you need 2 weight for each side of the dumbbell.So you can have as weight 10, 16, 26, 36 or if you join the 2 dumbbells, you get 60 pounds (assuming the bar and the connector add 8 pounds, since you have 4x8lbs and 4x5lbs plates.The image is pretty much wrong, when you use the connector; you want to add all the weights on the outmost area, and you can use it for chest press for example, but if you just join the dumbbells you end up with your hands in between weights and they most likely will hinder your movements or hit on your chest when you exercise.In the end it is a well made set; you pay something when you have the flexibility to use them as separate or connected, but it works perfectly fine for my needs"
5.0 out of 5 stars,"Beware! The package it comes in is extremely heavy. I could break my toe if I dropped it. There is also a sticker on the package that says ""package weighs 35 or more"".I ordered the 40 lb with connector and it is so worth it for me! I lift somewhere around 7 to 10 lbs here and there with dumbbells. I love how I can easily assembly and adjust my weights. It's also safe to where the weights won't slip out either! The connector makes it easy for me to turn a dumbbell into a barbell for squats or deadlifts. I think the bar for the dumbbells itself weights about 4 lbs. I wish there was a way I can buy the weights separately in case I want to add more weights to my sets."
5.0 out of 5 stars,"Absolutely nothing wrong with the quality of this 200lb set!  And far more cost effective than buying individual, wieghted dumbbells.  I bought two extra pair of the 1.15"" bars for $43, and now I have a 45lb pair, a 35lb pair, and a 25lb pair, and of course, can build a heavier pair as I work up to it.  This method saves a lot of time that would be involved in changing out the weights.As for the Wimps who complain that the ""spiny-ness of the grips hurt their hands... seriously people? Man-up!  They are no different than anything else on the market.  These are very good quality!  If your hands are that tender, wear workout gloves."
3.0 out of 5 stars,"Edited 5/24: just received the barbell connector and extremely dissatisfied. Threading doesn’t match (I couldn’t even get a half thread engagement, no set screws as shown. After reading other similar reviews I’m sending the connector back and buying a 1” barbell from elsewhere. Had to turn my 5 star review into 3 stars after being do disappointed in the barbell adapter I was looking forward to.Easy to assemble and switch out plates - and fills the rest time between sets if you make a weight adjustment in your training.  The only drawback is the shaft where you add plates can hinder range of motion if you're doing lat pulldowns on the floor, but I have a weight bench on the way to remedy that and also to allow full range of motion for chest exercises.  I was happy enough with this set that I went ahead and ordered the barbell adapter piece.For those concerned- they did split the weights into separate boxes though I will still put out a gift card for my mailman for hoofing them up 3 flights of stairs!The only suggestion I have is the ability to order additional plates separately - I could use a few 10lb plates once my strength is back from getting so weak during quarantine, but couldn't quite justify the 190lb set since I can certainly get by with 105 total for a while. For the guys out there I would definitely recommend the 190lb set though."
5.0 out of 5 stars,"You can't beat these! I've had my eye on these dumbbells for a couple years. Unfortunately COVID happened, and they went out of stock. I was finally able to snag some at a decent price (not the scalper prices we've all been seeing), and I am totally impressed. They arrived in well-labeled, secure, sturdy boxes, with plastic bands around them to keep them safe, with each plate individually wrapped in plastic bags. The finish on the product is terrific --- no loose paint or chipped edges. The knurl is great, not too rough, not too light. My seller sent them via USPS 2-day priority, and USPS put them right on my doorstep in 3 boxes plus a small envelope (arrived early too). The boxes came in perfect condition, not unlike some other reviews you've seen. I am thrilled with this purchase."
5.0 out of 5 stars,"I ONLY bought the adjustable kettlebell. While the price it was a bit more than I’d like to spend, admittedly I am a cheapskate. Anyway, I am an experienced from home lifter. Previously, I had purchased an all iron adjustable kettlebell. Overall, this is a much better product. Here are the pros/cons vs. the all metal version:Pro - the kettlebell locks well. With the all metal version, they did not lock very well and I had 40 lbs drop on my toes on a side to side kettlebell swing. Also, the handles work great to use for pushupsCon - the handle weighs next to nothing as it’s plastic. The downside is there is a lower weight limit to the kettlebell so if the plan is to lift very heavy you would need to use 25 lb plates which make the kettlebell pretty sizable. Also, this is all plastic so imagine the handle has a shelf life.Overall, this is a better option than the all metal adjustable kettlebell handle."
5.0 out of 5 stars,"I was searching for a set of good dumbbells for a while now since I can't go to gym for 3 months now and the lack of weight inventory out there in the market. I tried both Powerblock and Bowflex but they are out of stock since Covid19 hit.Not sure if I was lucky, over my countless searches, this shown up in my AMZ page. Clicked on it and they only have the 200lbs set available, I immediately hit purchase without even thinking because the PRICE is unbeatable (I got double the weights but half the price comparing to Bowflex/powerblock).And it was delivered to me a week faster than AMZ estimation even in this Covid19 situation, and kudos to USPS that delivered to the front of my house. It was well packaged (double packed) and secured.I got it today and immediately tried it out, it works as expected and well. Finally I am able to lift weight again after a long 3 months of searching for dumbbells.My conclusion, you can't beat this price for what you get and it's a quality set, seller even provided extra rubber o-ring in case the existing one wear off in the future."
5.0 out of 5 stars,"I have been asked by my wife the past two years to go and hit the gym in an effort to lose body fat and build muscle mass and strength... I made an effort to work on that and have been doing so this past year. I purchased several sets of adjustable dumbbells(thankfully so considering the many COVID-19 shutdowns) and it is paying dividends. Avoid the gym and purchase a set of adjustable dumbbells, and if you want to build mass, simply purchase heavier weights with your dumbbell set. It is price friendly and time friendly as well. Anyone who tells you that you need fancy equipment or big barbells to build muscle is not true. You can most certainly get ripped and build mass with an adjustable dumbbell set, a few resistance bands and body weight workouts. Of course, your workout plan and nutrition is key, with nutrition being the most important."
